name,medicare_provider_number,address,city,county,state,zip_code,telephone,primary_contact,coo,cfo,cmo,cio,chr,cno,web_address,control,services,staffed_beds,personnel
PALACIOS COMMUNITY MEDICAL CENTER,451332,311 Green Street,PALACIOS,Matagorda County,TEXAS,77465-3213,361/972-2511,"Huyen Tran, Administrator","Lisa Henderson, Chief Operating Officer","Claude Manning, Chief Financial Officer",,"Angela Yeager, Director Information Technology","Lisa Henderson, Chief Operations Officer","Susan Easter, Chief Nursing Officer",www.palacioshospital.net/,Other not-for-profit (including NFP Corporation),General medical and surgical,15,29
PALESTINE REGIONAL MEDICAL CENTER,450747,2900 South Loop  256,PALESTINE,Anderson County,TEXAS,75801-6958,903/731-1000,"Doug Holzbog, Market Chief Executive Officer",,"Celena Brim, Chief Financial Officer",,"Rebecca Chou, Director Information Systems","Rhonda Beard, Director Human Resources",,www.palestineregional.com,"Partnership, Investor-owned (for-profit)",General medical and surgical,161,452
RESOLUTE HEALTH,670098,555 Creekside Crossing,NEW BRAUNFELS,Comal County,TEXAS,78130-2594,830/500-6000,"Mark L. Bernard, Chief Executive Officer",,,,,,,www.resolutehealth.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,128,386
NOCONA GENERAL HOSPITAL,450641,100 Park Road,NOCONA,Montague County,TEXAS,76255-3616,940/825-3235,"Lance Meekins, Chief Executive Officer",,"Lance Meekins, Chief Executive Officer","Chance Dingler, M.D.",,"Paula Clark, Administrative Assistant and Director Human Resources",,www.noconageneral.com/,"Hospital district or authority, Government, Nonfederal",General medical and surgical,22,132
MEDICAL CITY NORTH HILLS,450087,4401 Booth Calloway Road,NORTH RICHLAND HILLS,Tarrant County,TEXAS,76180-7399,817/255-1000,"Mark S. Deno, FACHE","Nancy L Hill, R.N.","Nick Galt, Chief Financial Officer","John McDonald, M.D.","Jason Sims, Facility Information Security Officer",,"John Marker, MSN",www.northhillshospital.com,"Partnership, Investor-owned (for-profit)",General medical and surgical,142,514
CONTINUECARE HOSPITAL AT MEDICAL CENTER (ODESSA),452121,"500  West Fourth Street, 4th Floor",ODESSA,Ector County,TEXAS,79761-5001,432/640-4380,"Adebola Awino, Chief Nursing Officer / Interim Chief Executive Offier",,,,,,"Ade Adelekan, Chief Nursing Officer",https://odessa.continuecare.org/,Other not-for-profit (including NFP Corporation),Acute long- term care hospital,25,77
MEDICAL CENTER HEALTH SYSTEM,450132,500 West Fourth Street,ODESSA,Ector County,TEXAS,79761-5059,432/640-4000,"Russell Tippin, President and Chief Executive Officer","Tony Ruiz, Senior Vice President","Steven Ewing, Chief Financial Officer","Sari A. Nabulshi, M.D.","Gary Barnes, Senior Vice President","Robbi Banks, Vice President","Chad Dunavan, R.N.",www.mchodessa.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,361,1746
ST. LUKE'S HEALTH – PATIENTS MEDICAL CENTER,670031,4600 East  Sam Houston Parkway South,PASADENA,Harris County,TEXAS,77505-3948,713/948-7000,"Steven Daniel, President",,,,,,"Jane Stirrup, Vice President",https://locations.stlukeshealth.org/location/patients-medical-center,"Partnership, Investor-owned (for-profit)",General medical and surgical,61,417
SURGERY SPECIALTY HOSPITALS OF AMERICA,450831,4301B Vista Road,PASADENA,Harris County,TEXAS,77504,713/378-3000,"Eric Chan, M.D.","Hemant Khemka, Chief Operating Officer","Hemant Khemka, Chief Financial Officer","Xiao H. Li, M.D.","Homer Chiang, Chief Information Officer",,,www.surgeryspecialty.com/,"Partnership, Investor-owned (for-profit)",General medical and surgical,10,78
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PEARLAND,673066,2121 Business Center Drive,PEARLAND,Brazoria County,TEXAS,77584-2153,346/907-3000,"Michael Cabiro, Chief Executive Officer",,"Carol Neilson, CPA",,,,,https://www.encompasshealth.com/locations/pearlandrehab,"Corporation, Investor-owned (for-profit)",Rehabilitation,60,161
HCA HOUSTON HEALTHCARE PEARLAND,670106,11100 Shadow Creek  Parkway,PEARLAND,Brazoria County,TEXAS,77584-7285,713/770-7000,"Elias Armendariz, Chief Executive Officer TX",,,,,,"Jeanette Pennick, Chief Nursing Officer",www.pearlandmc.com,"Partnership, Investor-owned (for-profit)",General medical and surgical,48,317
FRIO REGIONAL HOSPITAL,451391,200 South I H 35,PEARSALL,Frio County,TEXAS,78061-3998,830/334-3617,"John R. Hughson, Chief Executive Officer",,,"Samer Arab, M.D.",,"Nancy Ortiz, Director Human Resource and Marketing","Louisa Martinez, Director of Nursing",www.frioregionalhospital.com,Other not-for-profit (including NFP Corporation),General medical and surgical,22,168
PAMPA REGIONAL MEDICAL CENTER,451398,1 Medical Plaza,PAMPA,Gray County,TEXAS,79065,806/665-3721,"Jonathan Gill, FACHE",,"Ronald Collins, Chief Financial Officer","James Hall, M.D.","Joy Patton, Director Information Technology","Debbie Dixon, Director Human Resources","Twilla Thomas, Chief Nursing Officer",www.prmctx.com,Other not-for-profit (including NFP Corporation),General medical and surgical,25,180
PARIS REGIONAL MEDICAL CENTER,450196,865 Deshong Drive,PARIS,Lamar County,TEXAS,75460-9313,903/785-4521,"Steve Hyde, Chief Executive Officer",,"Donald E McDaniel III, Chief Financial Officer","Richard Bercher, M.D.",,"Cheryl Perry, Executive Director Human Resources","Debra Taylor, Chief Nursing Officer",https://parisregionalmedical.com/,"Partnership, Investor-owned (for-profit)",General medical and surgical,135,689
HCA HOUSTON HEALTHCARE SOUTHEAST,450097,4000 Spencer Highway,PASADENA,Harris County,TEXAS,77504-1202,713/359-2000,"Yasmene McDaniel, Chief Executive Officer",,"John Armour, Chief Financial Officer",,"Clifford Ferguson, Director Information Technology and Systems",,"Gurvir K Saini MSN, RN",https://hcahoustonhealthcare.com/locations/southeast/,"Partnership, Investor-owned (for-profit)",General medical and surgical,349,1169
OCEANS BEHAVIORAL HOSPITAL OF PASADENA,454147,4001 Preston  Drive,PASADENA,Harris County,TEXAS,77505-2069,832/619-8836,"Shamieka Thomas, Administrator",,,,,,,https://oceanshealthcare.com/pasadena,"Corporation, Investor-owned (for-profit)",Psychiatric,22,
COVENANT HOSPITAL PLAINVIEW,450539,2601 Dimmitt Road,PLAINVIEW,Hale County,TEXAS,79072-1833,806/296-5531,"Cassie Mogg, Chief Executive Officer","Mike McNutt, Assistant Administrator",,"Sergio Lara, M.D.",,,"Leslie Hackett, Chief Nursing Officer",www.covenantplainview.org,Other not-for-profit (including NFP Corporation),General medical and surgical,49,381
BAYLOR SCOTT & WHITE MEDICAL CENTER – PLANO,450890,4700  Alliance Boulevard,PLANO,Collin County,TEXAS,75093-5323,469/814-2000,"Jerri Garison, R.N.","Joseph C. Brown, Vice President Operations","Deanne Kindred, Vice President Finance","John Marcucci, M.D.",,"Kriss Gamez, Director Human Resources",,www.baylorhealth.com/PhysiciansLocations/Plano/Pages/Default.,Other not-for-profit (including NFP Corporation),General medical and surgical,160,741
BAYLOR SCOTT & WHITE THE HEART HOSPITAL PLANO,670025,1100  Allied Drive,PLANO,Collin County,TEXAS,75093-5348,469/814-3278,"Mark Valentine, President","Brad D. McCall, Vice President Operations","Bryan Nichols, Chief Financial Officer","Trent Pettijohn, M.D.",,"Anna Gemeny, Regional Director Human Resources","Susan K. Moats, R.N.",https://www.bswhealth.com/the-heart-hospital/locations/plano,"Partnership, Investor-owned (for-profit)",Heart,109,1097
CHILDREN'S MEDICAL CENTER PLANO,453316,7601 Preston Road,PLANO,Collin County,TEXAS,75024-3214,469/303-7000,"Jeremiah Radandt, Executive Vice President Northern Market / Administrator",,,,"Pamela Arora, Senior Vice President and Chief Information Officer","Kim Besse, Executive Vice President and Chief Human Resource Officer","Mary Stowe, Senior Vice President and Chief Nursing Officer",https://www.childrens.com/location-landing/locations-and-directions/,Other not-for-profit (including NFP Corporation),Children's general medical and surgical,72,1531
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PLANO,453047,2800 West 15th Street,PLANO,Collin County,TEXAS,75075-7526,972/612-9000,"Wray Borland, Chief Executive Officer",,"Catrina Madkins, Controller and Chief Financial Officer","Omar Colon, M.D.",,,,https://encompasshealth.com/locations/planorehab,"Corporation, Investor-owned (for-profit)",Rehabilitation,83,205
REEVES REGIONAL HEALTH,451377,2349 Medical Drive,PECOS,Reeves County,TEXAS,79772-2251,432/447-3551,"Brenda McKinney, Chief Executive Officer","Yvette Riker, Chief Operating Officer","Bomi Bharucha, Chief Financial Officer","Deitrick Gorman, M.D.","John Gresham, Chief Information Officer","Nadine Smith, Director Human Resources","Faye Lease, Chief Nursing Officer",www.reevesregional.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,25,312
OCHILTREE GENERAL HOSPITAL,451359,3101 Garrett Drive,PERRYTON,Ochiltree County,TEXAS,79070-5323,806/435-3606,"Kelly Paige. Judice, Interim Chief Executive Officer",,"Debbie Blodgett, Director Fiscal Services","Rex Mann, M.D.","Dyan Harrison, Manager Health Information","Debbie Beck, Manager Human Resource and Payroll",,www.ochiltreehospital.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,25,196
BAYLOR SCOTT & WHITE MEDICAL CENTER – PFLUGERVILLE,670128,2600 East Pflugerville Parkway,PFLUGERVILLE,Travis County,TEXAS,78660-5998,512/654-6100,"Jay Fox, FACHE",,,,,,,https://www.bswhealth.com/locations/pflugerville-mc,Other not-for-profit (including NFP Corporation),General medical and surgical,25,157
UT HEALTH PITTSBURG,451367,2701 Highway 271 North,PITTSBURG,Camp County,TEXAS,75686-1032,903/946-5000,"Guybertho Cayo, Chief Executive Officer",,"Shawna Shacklett, Chief Financial Officer","W R Christensen, M.D.","Paula Anthony, Vice President Information Services","Kathy Shelton, Director Human Resources","Casey Mayben, Chief Nursing Officer",https://uthealthpittsburg.com/,"Partnership, Investor-owned (for-profit)",General medical and surgical,25,129
ALLEGIANCE BEHAVIORAL HEALTH CENTER OF PLAINVIEW,454101,"2601  Dimmit Road, Suite 400",PLAINVIEW,Hale County,TEXAS,79072-1833,806/296-9191,"Whitlee Russell, Chief Executive Officer",,,"Victor A Gutierrez, M.D.","Joe Monsour, Chief Information Officer","Danny J. Wagner, Chief Human Resource Officer",,www.ahmgt.com,"Corporation, Investor-owned (for-profit)",Psychiatric,20,40
TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,450771,6200 West  Parker Road,PLANO,Collin County,TEXAS,75093-8185,972/981-8000,"Fraser Hay, FACHE",,"Lisa Gildon, Vice President and Chief Financial Officer","Gwen Webster, M.D.","Susan Anderson, Director Information Systems","Kelly K. Martin, Vice President",,www.texashealth.org,Other not-for-profit (including NFP Corporation),General medical and surgical,338,1605
ACUTE REHABILITATION HOSPITAL OF PLANO,673055,"2301 Marsh Lane,  #200",PLANO,Denton County,TEXAS,75093-8497,972/899-5510,"Marla C. Wilson, Chief Executive Officer",,,,,,,www.accelrehab.com,"Partnership, Investor-owned (for-profit)",Rehabilitation,36,94
TEXAS SURGICAL HOSPITAL,,2301 Marsh Lane,PLANO,Denton County,TEXAS,75093-8497,972/820-2600,"Thomas M. Dunning, Chief Executive Officer",,"Muhtar Dhanjy, Comptroller",,,,,https://txsurgical.com/,"Partnership, Investor-owned (for-profit)",General medical and surgical,26,112
THE MEDICAL CENTER OF SOUTHEAST TEXAS,450518,2555 Jimmy  ⇑ TX Johnson Boulevard,PORT ARTHUR,Jefferson County,TEXAS,77640-2007,409/724-7389,"Brent A. Cope, President","Chris McMahon, Chief Operating Officer","Jason R. Miller, Chief Financial Officer","Ryan McHugh, M.D.","Bryan Hebert, Director Information Systems","Carol Hebert, Director Human Resources","Debbie Vaughn, R.N.",https://www.medicalcentersetexas.org/,"Partnership, Investor-owned (for-profit)",General medical and surgical,184,
MEMORIAL MEDICAL CENTER,451356,815 North Virginia Street,PORT LAVACA,Calhoun County,TEXAS,77979-3025,361/552-6713,"Erin R. Clevenger, R.N.","Roshanda Gray, Assistant Administrator","Diane C. Moore, Chief Financial Officer","Jeannine Griffin, M.D.","Adam Besio, Chief Information Officer",,"Erin R. Clevenger, R.N.",www.mmcportlavaca.com,"County, Government, Nonfederal",General medical and surgical,25,214
LEGENT SURGICAL HOSPITAL PLANO,670322,4100 Mapleshade Lane,PLANO,Collin County,TEXAS,75093-0012,972/265-1050,"Cole Schmitz, Chief Executive Officer",,,,,,,https://www.legenthealth.com/,"Partnership, Investor-owned (for-profit)",Surgical,7,53
MEDICAL CITY PLANO,450651,3901 West 15th Street,PLANO,Collin County,TEXAS,75075-7738,972/596-6800,"Ben Coogan, Chief Executive Officer",,"Brad Stein, Chief Financial Officer","Ann Arnold, M.D.","Michael Gfeller, Director Information Systems","Shanna Warren, Director Human Resources","Damita Williams, Ed.D.",www.medicalcenterplano.com,"Partnership, Investor-owned (for-profit)",General medical and surgical,611,2234
REUNION REHABILITATION HOSPITAL PLANO,673080,3600 Mapleshade  Lane,PLANO,Collin County,TEXAS,75075-5715,469/830-2350,"Ty Burgess, Chief Executive Officer",,,,,,,https://reunionrehabhospital.com/locations/plano/,"Partnership, Investor-owned (for-profit)",Rehabilitation,48,147
SELECT SPECIALTY HOSPITAL DALLAS PLANO,452022,1100 Allied Drive,PLANO,Collin County,TEXAS,75093-5348,469/892-1400,"Misti Varnell, Chief Executive Officer",,,,,,,https://www.selectspecialtyhospitals.com/locations-and-tours/tx/,"Corporation, Investor-owned (for-profit)",Acute long-term care hospital,30,121
TEXAS HEALTH CENTER FOR DIAGNOSTIC & SURGERY,450891,"6020  West Parker Road, Suite 100",PLANO,Collin County,TEXAS,75093-8171,972/403-2700,"Mitchell Mulvehill, President",,"Douglas Browning, Chief Financial Officer",,,"Cookie Tedder, Human Resources Manager","Ellen Baldwin, R.N.",www.thcds.com,"Partnership, Investor-owned (for-profit)",General medical and surgical,18,191
EMINENT MEDICAL CENTER,,3351 Waterview Parkway,RICHARDSON,Collin County,TEXAS,75080,469/910-8800,"Rhonda Lopp, Chief Executive Officer",,,"Richard Jones, M.D.",,,"Erin Baker, Chief Nursing Officer",www.eminentmedicalcenter.com,"Partnership, Investor-owned (for-profit)",Surgical,5,80
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF RICHARDSON,673029,3351 Waterview Parkway,RICHARDSON,Collin County,TEXAS,75080-1449,972/398-5700,"Meagan Bailey, Chief Executive Officer",,,"Richard Jones, M.D.",,,"Pam Smith, Chief Nursing Officer",www.relianthcp.com,"Corporation, Investor-owned (for-profit)",Rehabilitation,50,174
METHODIST RICHARDSON MEDICAL CENTER,450537,2831 East President  George Bush Highway,RICHARDSON,Collin County,TEXAS,75082-3561,469/204-1000,"E. Kenneth. Hutchenrider Jr, FACHE","Robert Simpson, Vice President Operations","Ed Abbott, Vice President Finance","Mark Smith, M.D.","Pamela McNutt, Senior Vice President and Chief Information Officer","Chris Loyd, Director Human Resources","Irene T Strejc, M.P.H.",https://www.methodisthealthsystem.org/methodist-richardson-,Other not-for-profit (including NFP Corporation),General medical and surgical,337,1667
VIBRA HOSPITAL OF RICHARDSON,452097,401 West Campbell Road 3rd  Floor,RICHARDSON,Dallas County,TEXAS,75080-3416,210/941-4886,"Travis Rich, Chief Executive Officer",,,,,,,https://pamhealth.com/hospitals/pam-health-rehabilitation-hospital-,"Partnership, Investor-owned (for-profit)",Acute long-term care hospital,20,71
OAKBEND MEDICAL CENTER,450330,1705 Jackson Street,RICHMOND,Fort Bend County,TEXAS,77469-3289,281/341-3000,"Joe Freudenberger, Chief Executive Officer",,"Rodney Lenfant, Chief Financial Officer","Douglas Thibodeaux, M.D.","Tim McCarty, Chief Information Officer","Eileen Gamboa, Vice President Human Resources",,www.oakbendmedcenter.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,237,718
COOK CHILDREN'S MEDICAL CENTER – PROSPER,453317,4100 W  University Drive,PROSPER,Denton County,TEXAS,75078-3123,682/885-4000,"Kevin Greene, President","Stan Davis, FACHE","Cory Rhoades, Chief Financial Officer",Anthony Anani,,,"Cheryl Petersen, Chief Nursing Officer",www.cookchildrens.org/medical-center/prosper,Other not-for-profit (including NFP Corporation),Children's general medical and surgical,24,
HARDEMAN COUNTY MEMORIAL HOSPITAL,451352,402 Mercer  Street,QUANAH,Hardeman County,TEXAS,79252-4026,940/663-2795,"Dennis Thomas, Chief Executive Officer",,"Tracy Betts, Chief Financial Officer",Kevin Lane,,,,www.hcmhosp.net/,"Hospital district or authority, Government, Nonfederal",General medical and surgical,18,101
UT HEALTH QUITMAN,451380,117 Winnsboro Street,QUITMAN,Wood County,TEXAS,75783-2144,903/763-6300,"Guybertho Cayo, Chief Executive Officer",,"Janet Andersen, Chief Financial Officer",,,"William Henry, Director Human Resources","Allicia Settles, Chief Nursing Officer",https://uthealthquitman.com/,"Partnership, Investor-owned (for-profit)",General medical and surgical,25,151
RANKIN COUNTY HOSPITAL DISTRICT,451329,1105 Elizabeth Street,RANKIN,Upton County,TEXAS,79778,432/693-2443,"Jim Horton, R.N.",,"Tami Burks, Comptroller","Thomas J Curvin, M.D.",,,,www.rankincountyhospital.com/,"Hospital district or authority, Government, Nonfederal",General medical and surgical,14,89
REFUGIO COUNTY MEMORIAL HOSPITAL,451317,107 Swift Street,REFUGIO,Refugio County,TEXAS,78377-2425,361/526-2321,"Corey Wasicek, Chief Executive Officer",,,,,,,www.refugiohospital.com/,"Hospital district or authority, Government, Nonfederal",General medical and surgical,20,121
ASCENSION SETON WILLIAMSON,670041,201 Seton Parkway,ROUND ROCK,Williamson County,TEXAS,78665-8000,512/324-4000,"Andrew Gnann, President",,"Douglas D Waite, Senior Vice President and Chief Financial Officer","Hugh V Gilmore, M.D.",,"Thomas Wilken, Vice President Human Resources",,https://healthcare.ascension.org/locations/texas/txaus/round-rock-,"Church operated, Nongovernment, not-for-profit",General medical and surgical,181,659
BAYLOR SCOTT & WHITE MEDICAL CENTER – ROUND ROCK,670034,300  University Boulevard,ROUND ROCK,Williamson County,TEXAS,78665-1032,512/509-0100,"Jay Fox, FACHE","Joseph C. Brown, Vice President Operations","Jason Cole, Regional Chief Financial Officer","Rob Watson, M.D.",,"Mark A. Sherry, Regional Director Human Resource Strategic Services","Leslie Gembol, R.N.",www.sw.org,Other not-for-profit (including NFP Corporation),General medical and surgical,180,1895
BRUSHY CREEK FAMILY HOSPITAL,670326,230 Deer Ridge Drive,ROUND ROCK,Williamson County,TEXAS,78681-5515,512/766-1400,"Henry Higgins, M.D.",,,,,,,https://familyhospitalsystems.com/locations/family-hosptial-at-,"Partnership, Investor-owned (for-profit)",General medical and surgical TX,4,47
CORNERSTONE HOSPITAL OF ROUND ROCK,452034,4681 College Park  DR,ROUND ROCK,Williamson County,TEXAS,78665-1526,512/533-2525,"Edward L. Dyer, Chief Executive Officer",,,,,"Amelia Leudecke, Director Human Resources","Randi Cruz, Chief Nursing Officer",https://www.encompasshealth.com/roundrockrehab,"Corporation, Investor-owned (for-profit)",Acute long-term care hospital,54,212
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ROUND ROCK,673032,1400 Hesters Crossing Road,ROUND ROCK,Williamson County,TEXAS,78681-8025,512/244-4400,"Tarra Washington, Chief Executive Officer",,,,,"Amelia Leudecke, Director Human Resources","Randi Cruz, Chief Nursing Officer",https://www.encompasshealth.com/roundrockrehab,"Corporation, Investor-owned (for-profit)",Rehabilitation,75,212
WESTPARK SPRINGS,454131,6902 South Peek Road,RICHMOND,Fort Bend County,TEXAS,77407,832/532-8107,"Shaun Fenton, Chief Executive Officer",,,,,,,www.westparksprings.com/why-westpark-springs/,"Corporation, Investor-owned (for-profit)",Psychiatric,96,150
STARR COUNTY MEMORIAL HOSPITAL,450654,128 N FM 3167,RIO GRANDE CITY,Starr County,TEXAS,78582-6211,956/487-5561,"Thalia H. Munoz, R.N.",,"Rafael Olivares, Controller",,,"Amaro Salinas, Assistant Administrator and Human Resource Officer","Mario Segura, Director of Nursing",www.starrcountyhospital.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,47,319
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF WACO,673079,3600 S Loop 340 Highway,ROBINSON,Mclennan County,TEXAS,76706-4828,254/523-2200,"Donna Harris, Chief Executive Officer",,,,,,,https://encompasshealth.com/locations/wacorehab,"Corporation, Investor-owned (for-profit)",Rehabilitation,40,
TEXAS HEALTH HOSPITAL ROCKWALL,670044,3150 Horizon Road,ROCKWALL,Rockwall County,TEXAS,75032-7805,469/698-1000,"Jason Linscott, CPA",,,"Gary Bonacquisti, M.D.",,"Candy Marie Stewart, Vice President People and Culture","Tami Hawkins, R.N.",https://www.texashealth.org/Locations/texas-health-rockwall#,"Partnership, Investor-owned (for-profit)",General medical and surgical,105,584
FISHER COUNTY HOSPITAL DISTRICT,451313,774 State Highway 70  North,ROTAN,Fisher County,TEXAS,79546-6918,325/735-2256,"Leanne Martinez, Chief Executive Officer and Administrator",,"Debbie Hull, Chief Financial Officer",Joseph Lampley,,"Teresa Terry, Director Human Resource","D'Linda Benham, Director of Nursing",www.fishercountyhospital.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,14,62
SHANNON MEDICAL CENTER,450571,120 East Harris Street,SAN ANGELO,Tom Green County,TEXAS,76903-5976,325/653-6741,"Shane Plymell, Chief Executive Officer","Pamela Bradshaw, R.N.","Staci Wetz, Chief Financial Officer",Irvin Zeitler,"Tom Perkins, Chief Information Officer",,"Pamela Bradshaw, R.N.",www.shannonhealth.com,Other not-for-profit (including NFP Corporation),General medical and surgical,354,2362
"SHANNON REHABILITATION HOSPITAL, AN AFFILIATE OF ENCOMPASS HEALTH",673078,6102 Appaloosa Trail,SAN ANGELO,Tom Green County,TEXAS,76901-4920,325/284-4000,"Bill Perkins, Chief Executive Officer",,,,,,,https://encompasshealth.com/locations/sanangelorehab,"Corporation, Investor-owned (for-profit)",Rehabilitation,40,
SHANNON RIVER CREST HOSPITAL,454064,1636 Hunters Glen Road,SAN ANGELO,Tom Green County,TEXAS,76901-5016,325/949-5722,"Patricia A Spatz, Chief Executive Officer",,,"Raymond Mays, M.D.",,"Lydia Cardenas, Director Human Resources","Debra Millsap, Director of Nursing",www.rivercresthospital.com,"Corporation, Investor-owned (for-profit)",Psychiatric,62,129
BAPTIST MEDICAL CENTER,450058,111 Dallas Street,SAN ANTONIO,Bexar County,TEXAS,78205-1230,210/297-7000,"Thomas McKinney, FACHE",,,,"Gary Davis, Vice President Information Systems",,,www.baptisthealthsystem.com,"Partnership, Investor-owned (for-profit)",General medical and surgical,1270,4516
PAM REHABILITATION HOSPITAL OF ROUND ROCK,673069,351 Seton  Parkway,ROUND ROCK,Williamson County,TEXAS,78665-8001,737/708-9800,"Kenda A. Pritchard, Chief Executive Officer",,,,,,,www.postacutemedical.com,"Individual, Investor-owned (for-profit)",Rehabilitation,40,126
ST. DAVID'S ROUND ROCK MEDICAL CENTER,450718,2400 Round Rock  Avenue,ROUND ROCK,Williamson County,TEXAS,78681-4097,512/341-1000,"Laura Wiess, Interim Chief Executive Officer","Katie Lattanzi, Chief Operating Officer","Cindy Sexton, Chief Financial Officer",,,"Amy Noak, Director Human Resources",,www.stdavids.com,Other not-for-profit (including NFP Corporation),General medical and surgical,207,900
BAYLOR SCOTT & WHITE MEDICAL CENTER – LAKE POINTE,450742,6800 Scenic Drive,ROWLETT,Rockwall County,TEXAS,75088-4552,972/412-2273,"Donas Cole, FACHE","Benson Chacko, Vice President",,,,,,https://www.bswhealth.com/locations/lake-pointe/,Other not-for-profit (including NFP Corporation),General medical and surgical,162,811
RUSK STATE HOSPITAL,454009,805 North Dickinson,RUSK,Cherokee County,TEXAS,75785-2333,903/683-3421,"Brenda Slaton, Superintendent","Lynda Roberson, Senior Program Director","Rhonda Transier, Financial Officer","Joe Bates, M.D.",,"Kendra Brown, Job Requisition Coordinator",,www.dshs.state.tx.us/mhhospitals/RuskSH/default.shtm,,Psychiatric,288,963
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SAN ANTONIO,453031,9119 Cinnamon Hill,SAN ANTONIO,Bexar County,TEXAS,78240-5401,210/691-0737,"Andrew Meade, Chief Executive Officer",,"Larry Floyd Spriggs, CPA","Chaula Rana, M.D.",,"Vanessa Tejada, Director Human Resources","Matthew D'Ambrosio, MSN",www.hsriosa.com,"Corporation, Investor-owned (for-profit)",Rehabilitation,96,191
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,670054,9522  ⇑ Huebner Road,SAN ANTONIO,Bexar County,TEXAS,78240-1548,210/478-5400,"Jill Finke, FACHE",,,,,,"Beckie Leonard, R.N.",https://www.fshsanantonio.com/,"Corporation, Investor-owned (for-profit)",Surgical,20,133
KINDRED HOSPITAL SAN ANTONIO CENTRAL,452073,"111 Dallas Street,  4th Floor",SAN ANTONIO,Bexar County,TEXAS,78205-1201,210/297-7185,"Bo Bowman, Chief Executive Officer",,,,,,,www.kindredsanantoniocentral.com/,"Corporation, Investor-owned (for-profit)",Acute long-term care hospital,44,118
KINDRED HOSPITAL–SAN ANTONIO,452016,3636 Medical Drive,SAN ANTONIO,Bexar County,TEXAS,78229-2183,210/616-0616,"Lana Bamiro, FACHE","Lana Bamiro, FACHE","Erin Russell, Controller","Charles Duncan, M.D.",,"Stanley Richardson, Coordinator Human Resources and Payroll Benefits",,https://www.kindredhospitals.com/locations/ltac/kindred-hospital-,"Corporation, Investor-owned (for-profit)",Acute long-term care hospital,59,112
LAUREL RIDGE TREATMENT CENTER,454060,17720 Corporate Woods  Drive,SAN ANTONIO,Bexar County,TEXAS,78259-3500,210/491-9400,"Ashley Sacriste, Chief Executive Officer",,"Chris Barela, Chief Financial Officer","Benigno J Fernandez, M.D.",,"Brenda Frederick, Director Human Resources","Kathy Rosetta, Chief Nursing Officer",www.laurelridgetc.com,"Partnership, Investor-owned (for-profit)",Psychiatric,288,650
BAPTIST NEIGHBORHOOD HOSPITAL AT THOUSAND OAKS,670078,⇑ 16088 San Pedro,SAN ANTONIO,Bexar County,TEXAS,78232-2249,210/402-4092,"Shannon Crinion, Chief Executive Officer",,,,,,"David Mitchell, Vice President Nursing",www.baptistemergencyhospital.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,41,376
CHRISTUS CHILDREN'S,453315,333 North Santa Rosa Street,SAN ANTONIO,Bexar County,TEXAS,78207,210/704-2011,"Cris Daskevich, FACHE",,,,,,,www.chofsa.org/,"Church operated, Nongovernment, not-for-profit",Children's general medical and surgical,233,1167
CHRISTUS SANTA ROSA HEALTH SYSTEM,450237,333 North Santa  Rosa Street,SAN ANTONIO,Bexar County,TEXAS,78207-3108,210/704-2000,"Cris Daskevich, FACHE",,"Linda Kirks, Vice President and Chief Financial Officer","Kenneth Davis, M.D.",,"Crystal H Kohanke, Group Vice President","Patty Toney, R.N.",www.christussantarosa.org,"Church operated, Nongovernment, not-for-profit",General medical and surgical,403,
CLARITY CHILD GUIDANCE CENTER,,9119 Cinnamon Hill,SAN ANTONIO,Bexar County,TEXAS,78229-3363,210/616-0300,"Jessica Knudsen, Chief Executive Officer",,"Michael Bernick, Executive Vice President and Chief Financial Officer","Soad Michelson, M.D.",,"Gina Massey, Vice President Human Resources","Carol Carver, MSN",www.claritycgc.org,Other not-for-profit (including NFP Corporation),Children's hospital psychiatric,66,267
PAM HEALTH SPECIALTY HOSPITAL OF SAN ANTONIO,452090,5418 N  Loop 1604,SAN ANTONIO,Bexar County,TEXAS,78247,210/921-3550,"Greg Lessard, Chief Executive Officer",,,,"Mike Anderson, Chief Information Officer",,"Carrie Nims, Director of Nursing",https://pamhealth.com/hospitals/pam-health-specialty-hospital-of-,"Partnership, Investor-owned (for-profit)",Acute long-term care hospital,26,106
